epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.1624,3.71711,3.57968,3.84269,0.00028,0.02895,0.00361,0.00071,5.70128,3.87619,4.10316,0.000546086,0.000546086,0.000546086
2,18.5535,2.60791,2.28593,2.70547,0.38423,0.21839,0.14066,0.04151,3.24357,1.90443,2.31495,0.00109085,0.00109085,0.00109085
3,27.3292,2.22598,1.88756,2.23608,0.42512,0.1719,0.16966,0.07105,3.07546,2.38339,2.14335,0.0016246,0.0016246,0.0016246
4,35.7375,2.03142,1.69278,1.96723,0.49557,0.25989,0.21761,0.06448,2.80594,2.42334,1.89183,0.00161749,0.00161749,0.00161749
5,44.5255,1.90739,1.5701,1.83847,0.43591,0.35991,0.26582,0.07752,2.72335,1.931,1.75153,0.00160099,0.00160099,0.00160099
6,53.4831,1.79644,1.42759,1.68827,0.511,0.47991,0.40916,0.14413,2.48744,1.57489,1.63532,0.00158448,0.00158448,0.00158448
7,61.945,1.74098,1.38248,1.6407,0.5026,0.5101,0.36632,0.12816,2.35736,1.60639,1.57376,0.00156798,0.00156798,0.00156798
8,70.9193,1.72799,1.34242,1.59181,0.55147,0.52026,0.4436,0.16621,2.38764,1.46789,1.48519,0.00155148,0.00155148,0.00155148
9,79.0244,1.67832,1.29147,1.55811,0.6651,0.45035,0.47725,0.20271,2.15795,1.40378,1.46479,0.00153497,0.00153497,0.00153497
10,87.82,1.63622,1.26666,1.50804,0.62058,0.48074,0.44222,0.15339,2.26469,1.6657,1.41817,0.00151847,0.00151847,0.00151847
11,95.9865,1.58147,1.22601,1.4733,0.63249,0.47759,0.42115,0.13127,2.62565,1.836,1.63326,0.00150197,0.00150197,0.00150197
12,104.69,1.56879,1.2105,1.46315,0.54166,0.49849,0.42332,0.18096,2.25846,1.47076,1.41463,0.00148546,0.00148546,0.00148546
13,112.92,1.54079,1.16318,1.42258,0.62069,0.56869,0.49856,0.21223,2.1378,1.29963,1.37117,0.00146896,0.00146896,0.00146896
14,121.603,1.50552,1.13219,1.38422,0.67186,0.5776,0.5516,0.24431,1.9977,1.32321,1.38085,0.00145246,0.00145246,0.00145246
15,130.354,1.50119,1.12037,1.41624,0.72323,0.64371,0.60048,0.25446,1.90679,1.31588,1.32535,0.00143595,0.00143595,0.00143595
16,138.957,1.4946,1.11207,1.40931,0.64385,0.53162,0.46625,0.18685,2.28185,1.44134,1.43656,0.00141945,0.00141945,0.00141945
17,147.628,1.4746,1.0965,1.37937,0.61096,0.6213,0.52323,0.21266,2.04203,1.29451,1.38581,0.00140295,0.00140295,0.00140295
18,156.016,1.46195,1.08141,1.36395,0.71422,0.59469,0.54808,0.22394,2.05569,1.3263,1.29419,0.00138644,0.00138644,0.00138644
19,164.816,1.46326,1.06971,1.36152,0.73301,0.62406,0.59772,0.2817,1.88409,1.16641,1.30284,0.00136994,0.00136994,0.00136994
20,173.506,1.42765,1.03622,1.33508,0.77133,0.6221,0.59435,0.26161,1.98964,1.14094,1.30137,0.00135344,0.00135344,0.00135344
21,181.99,1.42148,1.03816,1.34102,0.72672,0.6533,0.60956,0.25209,1.99258,1.20725,1.28524,0.00133693,0.00133693,0.00133693
22,190.773,1.41163,1.01231,1.32613,0.79022,0.6579,0.67609,0.32212,1.85498,1.15637,1.24991,0.00132043,0.00132043,0.00132043
23,199.17,1.40902,1.00751,1.32153,0.73932,0.64053,0.63059,0.31207,1.84677,1.07975,1.24545,0.00130393,0.00130393,0.00130393
24,207.887,1.38729,1.01225,1.30715,0.75897,0.65286,0.66688,0.33418,1.75818,1.16573,1.25815,0.00128742,0.00128742,0.00128742
25,216.06,1.39503,0.99073,1.32178,0.7698,0.66386,0.67318,0.32069,1.80009,1.14604,1.19216,0.00127092,0.00127092,0.00127092
26,224.824,1.37423,0.94566,1.29258,0.67476,0.6285,0.58631,0.25581,2.07538,1.20237,1.28219,0.00125442,0.00125442,0.00125442
27,233.762,1.35103,0.94366,1.30151,0.80965,0.62849,0.67361,0.30652,1.86616,1.07148,1.18184,0.00123791,0.00123791,0.00123791
28,242.125,1.35855,0.93419,1.2946,0.8146,0.66259,0.70512,0.33779,1.76492,1.04053,1.21751,0.00122141,0.00122141,0.00122141
29,250.706,1.37134,0.95804,1.29539,0.76472,0.70864,0.716,0.36483,1.67133,1.0351,1.17782,0.00120491,0.00120491,0.00120491
30,259.249,1.36449,0.93999,1.26843,0.78989,0.70935,0.7304,0.38486,1.67147,1.03627,1.2205,0.0011884,0.0011884,0.0011884
31,268.062,1.34942,0.93018,1.28251,0.79614,0.70562,0.70208,0.35187,1.69662,1.03755,1.20363,0.0011719,0.0011719,0.0011719
32,277.092,1.34816,0.94004,1.26701,0.82727,0.70226,0.70169,0.34448,1.70755,0.98711,1.20356,0.0011554,0.0011554,0.0011554
33,285.51,1.32675,0.94186,1.26169,0.77903,0.68414,0.70542,0.36526,1.70939,1.02265,1.24676,0.00113889,0.00113889,0.00113889
34,294.335,1.29305,0.87932,1.23635,0.85158,0.74174,0.7596,0.36544,1.65775,1.01606,1.16782,0.00112239,0.00112239,0.00112239
35,302.56,1.29433,0.89002,1.24685,0.80973,0.68116,0.71673,0.34977,1.76717,1.06439,1.1884,0.00110589,0.00110589,0.00110589
36,311.342,1.29682,0.89115,1.26322,0.79701,0.68813,0.69163,0.32201,1.80067,1.10266,1.16308,0.00108938,0.00108938,0.00108938
37,319.881,1.27612,0.89207,1.24446,0.85317,0.69473,0.72442,0.37746,1.66877,0.97771,1.1606,0.00107288,0.00107288,0.00107288
38,328.248,1.30426,0.8771,1.23064,0.83526,0.68965,0.71773,0.36569,1.68945,1.00248,1.18113,0.00105638,0.00105638,0.00105638
39,336.918,1.25731,0.84211,1.20463,0.78728,0.6718,0.68447,0.30348,1.94381,1.05157,1.24605,0.00103987,0.00103987,0.00103987
40,345.147,1.23309,0.84817,1.22795,0.81472,0.72461,0.74455,0.39191,1.64858,1.00227,1.17032,0.00102337,0.00102337,0.00102337
41,353.929,1.26734,0.85498,1.22769,0.86795,0.72729,0.76915,0.40392,1.64947,0.94977,1.18764,0.00100687,0.00100687,0.00100687
42,362.406,1.22824,0.83115,1.21106,0.83904,0.74424,0.77646,0.39872,1.65578,0.96764,1.15602,0.000990365,0.000990365,0.000990365
43,371.116,1.23939,0.82063,1.21094,0.85016,0.72365,0.76606,0.41339,1.5516,0.93667,1.12442,0.000973861,0.000973861,0.000973861
44,379.936,1.22786,0.81615,1.21598,0.85478,0.74614,0.74295,0.39619,1.62485,0.91994,1.14956,0.000957358,0.000957358,0.000957358
45,388.281,1.2279,0.80323,1.20519,0.86366,0.73463,0.76003,0.41088,1.59394,0.90843,1.12314,0.000940855,0.000940855,0.000940855
46,397.029,1.25553,0.82168,1.21659,0.83605,0.72525,0.76237,0.41329,1.55987,0.89984,1.11692,0.000924352,0.000924352,0.000924352
47,405.409,1.23779,0.81729,1.20591,0.84467,0.71694,0.73775,0.37608,1.71213,0.9467,1.13902,0.000907848,0.000907848,0.000907848
48,414.108,1.2334,0.80706,1.20253,0.86099,0.73295,0.75465,0.39195,1.66255,0.977,1.1408,0.000891345,0.000891345,0.000891345
49,422.142,1.20762,0.7855,1.18315,0.75762,0.68038,0.66295,0.30068,2.06944,1.07611,1.23809,0.000874842,0.000874842,0.000874842
50,430.961,1.1884,0.76487,1.17195,0.81738,0.73223,0.73169,0.38887,1.62901,0.90224,1.12813,0.000858338,0.000858338,0.000858338
51,439.051,1.19088,0.76841,1.1946,0.85953,0.73508,0.74878,0.39729,1.60455,0.91636,1.12438,0.000841835,0.000841835,0.000841835
52,447.873,1.19486,0.77667,1.17796,0.80396,0.73057,0.71339,0.34047,1.81525,0.99095,1.16486,0.000825332,0.000825332,0.000825332
53,456.663,1.17551,0.78266,1.17063,0.90873,0.7618,0.78527,0.41967,1.54034,0.87234,1.09784,0.000808828,0.000808828,0.000808828
54,464.926,1.16116,0.75835,1.17551,0.86209,0.75862,0.78876,0.44497,1.51774,0.87207,1.10192,0.000792325,0.000792325,0.000792325
55,473.365,1.19204,0.75824,1.1759,0.8754,0.77268,0.80266,0.41749,1.59687,0.8748,1.11337,0.000775822,0.000775822,0.000775822
56,481.723,1.15169,0.74545,1.1525,0.85843,0.76125,0.79289,0.44742,1.46517,0.86643,1.08841,0.000759318,0.000759318,0.000759318
57,490.493,1.14116,0.74421,1.15054,0.86053,0.73967,0.77341,0.40183,1.57629,0.89871,1.12679,0.000742815,0.000742815,0.000742815
58,498.777,1.15965,0.74299,1.16411,0.86763,0.74377,0.80035,0.41151,1.60288,0.90432,1.12711,0.000726312,0.000726312,0.000726312
59,507.615,1.15264,0.75226,1.16582,0.86427,0.76076,0.79398,0.43826,1.52411,0.86345,1.11761,0.000709809,0.000709809,0.000709809
60,516.302,1.12073,0.72228,1.14292,0.88044,0.75696,0.78587,0.42538,1.5743,0.86974,1.09325,0.000693305,0.000693305,0.000693305
61,524.794,1.14579,0.72514,1.1518,0.87262,0.76536,0.7901,0.42318,1.54044,0.83481,1.0814,0.000676802,0.000676802,0.000676802
62,533.69,1.13703,0.72314,1.15329,0.90692,0.74966,0.77663,0.42812,1.57796,0.84009,1.08442,0.000660299,0.000660299,0.000660299
63,541.641,1.14237,0.707,1.14808,0.89004,0.75146,0.76143,0.42263,1.56889,0.8507,1.07475,0.000643795,0.000643795,0.000643795
64,551.008,1.13387,0.70012,1.1426,0.89016,0.78102,0.81473,0.44699,1.60012,0.84694,1.10445,0.000627292,0.000627292,0.000627292
65,559.759,1.1252,0.70723,1.14293,0.8918,0.7799,0.79744,0.42659,1.56408,0.83813,1.11286,0.000610789,0.000610789,0.000610789
66,568.301,1.11092,0.69965,1.14347,0.88835,0.77328,0.80227,0.46955,1.46266,0.82377,1.069,0.000594286,0.000594286,0.000594286
67,576.945,1.11585,0.69398,1.14212,0.85741,0.75219,0.75412,0.40235,1.63527,0.84374,1.09974,0.000577782,0.000577782,0.000577782
68,585.187,1.12918,0.69468,1.13151,0.8477,0.766,0.77111,0.4315,1.53737,0.81959,1.07947,0.000561279,0.000561279,0.000561279
69,593.794,1.12422,0.69605,1.13644,0.86689,0.75916,0.79526,0.4578,1.43522,0.84009,1.05964,0.000544776,0.000544776,0.000544776
70,602.763,1.11468,0.69066,1.14049,0.90208,0.75004,0.79511,0.4309,1.50228,0.83809,1.08412,0.000528272,0.000528272,0.000528272
71,611.208,1.08455,0.68254,1.1183,0.87629,0.76262,0.79732,0.4277,1.50516,0.82772,1.07378,0.000511769,0.000511769,0.000511769
72,620.081,1.12237,0.69623,1.13841,0.91414,0.77206,0.80889,0.46382,1.43228,0.81291,1.05311,0.000495266,0.000495266,0.000495266
73,628.27,1.06836,0.67419,1.1247,0.87624,0.79699,0.82336,0.48474,1.38584,0.78916,1.05825,0.000478762,0.000478762,0.000478762
74,636.971,1.10556,0.6704,1.11359,0.89988,0.75716,0.78991,0.433,1.46773,0.84145,1.05755,0.000462259,0.000462259,0.000462259
75,645.237,1.08664,0.67179,1.11662,0.90588,0.78298,0.82851,0.48543,1.398,0.78875,1.05025,0.000445756,0.000445756,0.000445756
76,653.909,1.10299,0.67628,1.12671,0.88142,0.78623,0.82189,0.48173,1.36905,0.79101,1.03961,0.000429253,0.000429253,0.000429253
77,662.933,1.07274,0.66666,1.1121,0.90422,0.7938,0.82673,0.49342,1.36413,0.78153,1.04432,0.000412749,0.000412749,0.000412749
78,671.326,1.04474,0.65777,1.1095,0.91415,0.77432,0.79813,0.44937,1.47567,0.7971,1.057,0.000396246,0.000396246,0.000396246
79,679.99,1.06936,0.6582,1.11241,0.90161,0.77499,0.80178,0.43024,1.52785,0.79624,1.05663,0.000379743,0.000379743,0.000379743
80,688.384,1.05778,0.6465,1.10075,0.91197,0.8067,0.83131,0.48154,1.41329,0.77828,1.04554,0.000363239,0.000363239,0.000363239
81,697.036,1.0377,0.63441,1.10485,0.91135,0.78306,0.80577,0.46246,1.44569,0.79673,1.07288,0.000346736,0.000346736,0.000346736
82,705.89,1.03884,0.6341,1.08773,0.9196,0.7824,0.80732,0.46049,1.46596,0.79993,1.0581,0.000330233,0.000330233,0.000330233
83,714.165,1.03178,0.63905,1.1012,0.91569,0.78664,0.81326,0.48613,1.36319,0.77045,1.0337,0.000313729,0.000313729,0.000313729
84,722.816,1.02869,0.63378,1.10102,0.896,0.79301,0.83019,0.47633,1.45173,0.80078,1.0549,0.000297226,0.000297226,0.000297226
85,730.97,1.02652,0.63374,1.09345,0.87394,0.78376,0.79171,0.44415,1.49097,0.78183,1.06907,0.000280723,0.000280723,0.000280723
86,739.504,1.00552,0.61414,1.07585,0.90202,0.80217,0.81924,0.46378,1.44209,0.76534,1.05543,0.00026422,0.00026422,0.00026422
87,747.688,1.00354,0.61825,1.09379,0.90512,0.79944,0.82434,0.46878,1.44888,0.76797,1.04363,0.000247716,0.000247716,0.000247716
88,756.727,1.03361,0.62612,1.10084,0.88908,0.80121,0.82064,0.50004,1.35151,0.73696,1.02468,0.000231213,0.000231213,0.000231213
89,765.055,0.98597,0.60484,1.07398,0.91077,0.79572,0.81621,0.48016,1.41797,0.74115,1.0396,0.00021471,0.00021471,0.00021471
90,773.65,1.00135,0.61865,1.09777,0.91749,0.79722,0.82668,0.49343,1.38805,0.73058,1.04682,0.000198206,0.000198206,0.000198206
91,785.109,0.88459,0.51464,0.9941,0.91861,0.77932,0.82448,0.46084,1.45193,0.75387,1.07794,0.000181703,0.000181703,0.000181703
92,793.118,0.87366,0.49243,0.99218,0.90991,0.79842,0.83217,0.48825,1.39343,0.75637,1.05616,0.0001652,0.0001652,0.0001652
93,800.842,0.86543,0.49031,0.99083,0.91981,0.78254,0.82552,0.47127,1.3946,0.75954,1.05521,0.000148696,0.000148696,0.000148696
94,809.187,0.86481,0.50171,0.99466,0.90672,0.78712,0.82858,0.47148,1.40867,0.7409,1.05586,0.000132193,0.000132193,0.000132193
95,817.209,0.82565,0.4779,0.97695,0.90143,0.79008,0.82346,0.48132,1.39249,0.72803,1.04093,0.00011569,0.00011569,0.00011569
96,825.569,0.82175,0.48044,0.97601,0.90898,0.78664,0.82988,0.49923,1.34372,0.7119,1.03412,9.91865e-05,9.91865e-05,9.91865e-05
97,833.804,0.8199,0.47495,0.97484,0.90894,0.80175,0.83069,0.49695,1.35866,0.71121,1.03024,8.26832e-05,8.26832e-05,8.26832e-05
